title,price,comments,details_urls,shoop
【巴州馆】新疆特产树上杏干 四团吊干杏 干果蜜饯新货休闲零食果脯 土耳其无核杏干（500g*1袋）,49.80,88,https://item.m.jd.com/product/10033787825815.html?_fd=jdm&amp;price=49.80&amp;fs=1,中国特产·巴州馆
疆憨憨 新疆奶枣巴旦木杏仁夹心奶酪红枣坚果网红解馋小零食休闲食品 125g*6袋,69.90,58,https://item.m.jd.com/product/10035631767139.html?_fd=jdm&amp;price=69.90&amp;fs=1,中国特产·博州馆
新疆伊犁四团吊干杏树上杏干500g吊死干原味杏包仁 大杏干500g,42.80,2,https://item.m.jd.com/product/10023944443059.html?_fd=jdm&amp;price=42.80&amp;fs=1,食之悠零食专营店
杏干吊干杏干无添加天然级四团树上干杏特级新疆特产吊干杏干 一级新货 两斤装,112.00,4,https://item.m.jd.com/product/10032645808734.html?_fd=jdm&amp;price=112.00&amp;fs=1,鸥贰堂食品专营店
每果时光 新疆杏干500g大片杏脯杏肉儿童孕妇零食休闲小吃蜜饯果干水果脯果蔬水果干 【半斤】精品杏干：250g*1包,16.80,10000,https://item.m.jd.com/product/10020756426542.html?_fd=jdm&amp;price=16.80&amp;fs=1,每果时光旗舰店
萃老大新疆伊犁杏干 萃老大新疆伊犁杏干香甜软糯200g罐 十罐 新疆伊犁杏条 六分酸四分甜,177.00,3,https://item.m.jd.com/product/10033522251021.html?_fd=jdm&amp;price=177.00&amp;fs=1,盛力驰食品饮料专营店
新疆特产杏干 树上干吊干杏没有添加剂250g*2袋赛天然吊死干 中颗粒无添加无熏制(一杏两吃)吊干杏250g*2袋,45.00,11,https://item.m.jd.com/product/57007520720.html?_fd=jdm&amp;price=45.00&amp;fs=1,空间之锋园艺专营店
宏泰记果脯蜜饯话梅肉陈皮酵素梅新疆玉杏无花果酸Q梅杨梅蓝莓李果组合办公室休闲零食混合果干 陈皮话李500g,24.80,1000,https://item.m.jd.com/product/32106442546.html?_fd=jdm&amp;price=24.80&amp;fs=1,大眼蛙食品专营店
【奎屯馆】新疆特产有机树上干杏吊干杏 伊杏皇果苑吊死杏干办公室休闲零食果干 500g/袋 1袋装,38.80,200,https://item.m.jd.com/product/56093680888.html?_fd=jdm&amp;price=38.80&amp;fs=1,中国特产·奎屯馆
5折 杏包仁大漠马卡龙新疆吊死杏干夹核杏脯肉夹仁120克*3 120gx3包,77.00,2,https://item.m.jd.com/product/10038590799984.html?_fd=jdm&amp;price=77.00&amp;fs=1,荧捷顺发食品专营店
