标题,图片链接,详情页,价格,运费,所在地,销量,评论数,店铺名称,标识
小小的我新疆甜杏肉160g孕妇零食杏干果干果脯天然无添加无核酸甜,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2211340469078/O1CN01zaO2Q12GvmD6xB3U0_!!2211340469078.jpg,https://detail.tmall.com/item.htm?id\u003d642087026131\u0026ns\u003d1\u0026abbucket\u003d16,36.90,18.00,江苏常州,1000+,60855,小小的我旗舰店,['尚天猫，就购了']
吊干杏干土耳其黑杏干新疆无核杏肉杏脯无添加天然果干蜜饯小零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2206443030742/O1CN01ellczC1HLsaNyjyQN_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d655939095141\u0026ns\u003d1\u0026abbucket\u003d16,9.90,15.00,广东惠州,1000+,1211,同甘同味旗舰店,"['尚天猫，就购了', '当季新品']"
红杏干杏脯500g罐装新疆吊干杏杏肉树上酸杏子孕妇零食果脯蜜饯TP,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2942872819/O1CN01cLg7ZS1Wh9CVXxlSv_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d651048591990\u0026ns\u003d1\u0026abbucket\u003d16,12.80,20.00,浙江杭州,1000+,1328,棠品旗舰店,['尚天猫，就购了']
丝路印象干果新疆果脯新疆杏干杏脯无核果脯杏肉脯办公室休闲零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/4068140348/O1CN01yJePcQ1ERQVV2cWKx_!!4068140348.jpg,https://item.taobao.com/item.htm?id\u003d612168115383\u0026ns\u003d1\u0026abbucket\u003d16#detail,20.00,0.00,新疆伊犁,900+,78,tb189116477,[]
吊干杏干新疆特产杏干无添加天然2021年新货新疆杏干特级四团杏干,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2121093602/O1CN01aQ09Uz1cTlLn7CpcJ_!!2121093602.jpg,https://item.taobao.com/item.htm?id\u003d641724492871\u0026ns\u003d1\u0026abbucket\u003d16#detail,23.50,0.00,新疆阿克苏,900+,9422,ali111620146,[]
2021杏干无杏肉添加天然糖500g偏酸红杏干杏脯新疆杏子干零食果脯,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/4161365599/O1CN013IMEO31rEOGWUmxfb_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d647269103363\u0026ns\u003d1\u0026abbucket\u003d16,28.90,50.00,浙江杭州,900+,2827,抱抱你旗舰店,"['尚天猫，就购了', '公益宝贝']"
膳源泽金杏干孕妇无添加剂新疆偏酸无核吊干高阳杏脯零食旗舰店,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2209103155923/O1CN01ugqWyr1tcmaKQ12Gv_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d649876779393\u0026ns\u003d1\u0026abbucket\u003d16,34.80,8.00,辽宁沈阳,900+,1709,膳源泽旗舰店,"['尚天猫，就购了', '公益宝贝']"
新疆红杏干杏脯500g吊干杏杏肉树上酸杏子休闲零食袋装果脯蜜饯,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2207967778388/O1CN01mn3egl2BpkssqM1uN_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d647304860777\u0026ns\u003d1\u0026abbucket\u003d16,18.80,999.00,浙江杭州,800+,356,倍滋倍味旗舰店,['尚天猫，就购了']
新疆杏包仁大漠马卡龙天然吊死杏干夹核桃仁甘草杏脯杏肉树上干杏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2211952203/O1CN01EoeBce1S91FsBNkkr_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d627814902037\u0026ns\u003d1\u0026abbucket\u003d16,29.90,0.00,新疆乌鲁木齐,800+,17628,铭果世嘉旗舰店,['尚天猫，就购了']
简农杏干新疆无核杏树杏干天然大果干 独立包装休闲小零食120g,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2200580251937/O1CN01fSGkmC1QBBu3lyAWt_!!2200580251937-0-picasso.jpg,https://item.taobao.com/item.htm?id\u003d661390491947\u0026ns\u003d1\u0026abbucket\u003d16#detail,15.90,200.00,广东珠海,700+,221,星级老钟驾到,"['探索全球美好生活', '金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']"
新疆库车小白杏干今年新货树上吊干杏无添加无糖特级500g果脯干果,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1604897299/O1CN01WOmqcp23mzUuh1XsC_!!1604897299.jpg,https://item.taobao.com/item.htm?id\u003d624233467653\u0026ns\u003d1\u0026abbucket\u003d16#detail,35.00,0.00,新疆阿克苏,700+,3868,唐大文73,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
新疆杏干树上干杏天然级无添加四团吊干杏吊死杏干500g特产新货,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2206691970950/O1CN01tFNmHb1It8vho4Lcp_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d610844735589\u0026ns\u003d1\u0026abbucket\u003d16,28.30,0.00,新疆乌鲁木齐,700+,12796,疆瀚旗舰店,"['尚天猫，就购了', '公益宝贝']"
新疆红杏干无核500g杏仁果脯罐装酸甜杏儿肉蜜饯孕妇儿童零食小吃,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2209238136606/O1CN01aQSRdV1yfb4jpPzzj_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d639659165133\u0026ns\u003d1\u0026abbucket\u003d16,13.80,18.00,安徽芜湖,600+,3960,知山集旗舰店,"['尚天猫，就购了', '公益宝贝']"
