raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick,icon,comment_url,shopLink,shopcard.isTmall
锐锐果新疆喀什英吉沙杏肉干无加糖无添加天然吊干杏干酸甜258g,//item.taobao.com/item.htm?id=657848863461&ns=1&abbucket=10#detail,34.9,50.0,新疆 乌鲁木齐,0,,2210913144723,吴杰杰杰1228,[],//item.taobao.com/item.htm?id=657848863461&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2210913144723,False
土耳其风味杏干500g树上天然吊干杏脯无核新疆特产零食小吃散,//detail.tmall.com/item.htm?id=651674306362&ns=1&abbucket=10,10.09,25.0,浙江 湖州,0,3.0,2447554145,奥瑞旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=651674306362&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2447554145,True
新疆特产干果 库车小白杏干无添加 一杏两吃 天然 散装 500g 包邮,//item.taobao.com/item.htm?id=613653354774&ns=1&abbucket=10#detail,25.0,10.0,新疆 喀什,0,1.0,2278510789,快乐大本营722,[],//item.taobao.com/item.htm?id=613653354774&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2278510789,False
21新货新疆大杏干特级天然无添加吊干杏500g无糖自然农家特产包邮,//detail.tmall.com/item.htm?id=633261626376&ns=1&abbucket=10,48.75,0.0,新疆 乌鲁木齐,0,,2207371577732,御派熊旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=633261626376&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207371577732,True
新疆小红杏新鲜水果 阿克苏脆甜吊干杏子4斤包邮大红杏甜过小白杏,//item.taobao.com/item.htm?id=653039836220&ns=1&abbucket=10#detail,368.0,0.0,新疆 阿克苏,0,16.0,616154475,无寻的邂逅,[],//item.taobao.com/item.htm?id=653039836220&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=616154475,False
蜜饯红杏子树上500g新疆果脯酸杏干休闲零食吊干杏杏肉罐装杏脯,//detail.tmall.com/item.htm?id=662688527472&ns=1&abbucket=10,53.39,23.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662688527472&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
罐装红杏干杏脯500g吊干杏杏肉新疆酸杏子休闲零食树上果脯蜜饯,//detail.tmall.com/item.htm?id=662645363681&ns=1&abbucket=10,53.39,23.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662645363681&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
新疆小红杏新鲜应当季水果孕妇阿克苏吊干杏子小白杏4斤整箱甜杏,//item.taobao.com/item.htm?id=655134617598&ns=1&abbucket=10#detail,169.8,999.0,四川 成都,0,,2212206338103,予溪物资百货,[],//item.taobao.com/item.htm?id=655134617598&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212206338103,False
土耳其杏干无核杏脯新疆特产黑杏干酸甜爽口孕妇解馋休闲零食干果,//item.taobao.com/item.htm?id=658610037148&ns=1&abbucket=10#detail,22.57,99.0,山东 临沂,0,,2206872211937,tb800027352,[],//item.taobao.com/item.htm?id=658610037148&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2206872211937,False
大杏干无添加天然500g农家新鲜新疆吊干非偏酸蔚县特级土耳其杏干,//detail.tmall.com/item.htm?id=632948501634&ns=1&abbucket=10,59.85,20.0,新疆 吐鲁番,0,,2207371577732,御派熊旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=632948501634&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207371577732,True
